topic_title,question_text,question_type,option_a,option_b,option_c,option_d,correct_answers,explanation,difficulty,tags,blooms_level,acceptable_answers,correct_order,matching_left,matching_right
"Overview","What is a variable in algebra?","multiple_choice","A fixed number that never changes","A symbol representing an unknown value","An equation with two sides","A type of graph","b","A variable is a symbol (usually a letter) that represents an unknown or changeable value.",1,"variables;basics",remember,,,
"Overview","Which of the following is an equation (not just an expression)?","multiple_choice","3x + 7","5y - 2","4x + 1 = 9","2(a + b)","c","An equation contains an equals sign, setting two expressions equal. Only 4x + 1 = 9 has an equals sign.",1,"expressions;equations",understand,,,
"Overview","True or False: The expression 2x + 5 and the equation 2x + 5 = 11 mean the same thing.","true_false","True","False","","","b","An expression is a mathematical phrase without an equals sign. An equation states that two expressions are equal.",1,"expressions;equations",understand,,,
"Overview","In the expression 8y + 3, the coefficient is ___ and the constant is ___.","fill_blank","","","","","","The coefficient is the number multiplied by the variable (8), and the constant is the standalone number (3).",1,"coefficients;constants",remember,"8 and 3|8, 3",,
"Background","The word 'algebra' comes from which language?","multiple_choice","Greek","Latin","Arabic","Sanskrit","c","'Algebra' derives from the Arabic word al-jabr, meaning 'restoration of broken parts.'",1,"history",remember,,,
"Background","In the expression 5x² - 3x + 7, what is the degree?","multiple_choice","1","2","3","5","b","The degree of a polynomial is the highest exponent. Here the highest power is x², so the degree is 2.",2,"polynomials;degree",remember,,,
"Background","Which are like terms?","multiple_select","3x and 7x","2x² and 5x","4xy and -xy","6 and -2","a,c,d","Like terms must have identical variable parts. 3x/7x, 4xy/-xy, and 6/-2 are like terms. 2x² and 5x differ in exponent.",2,"like-terms",understand,,,
"Theory","Solve for x: 2x + 6 = 14","multiple_choice","x = 3","x = 4","x = 5","x = 10","b","Subtract 6 from both sides: 2x = 8. Divide by 2: x = 4.",2,"linear-equations;solving",apply,,,
"Theory","Solve for x: 3(x + 2) - 4 = 11","multiple_choice","x = 2","x = 3","x = 4","x = 5","b","Distribute: 3x + 6 - 4 = 11. Combine: 3x + 2 = 11. Subtract 2: 3x = 9. Divide by 3: x = 3.",2,"linear-equations;distributive",apply,,,
"Theory","What is the first step in solving 5(x - 3) + 2 = 22?","multiple_choice","Subtract 2 from both sides","Divide by 5","Distribute the 5","Add 3 to both sides","c","When parentheses are present, the first step is to distribute: 5x - 15 + 2 = 22.",2,"solving-strategy",understand,,,
"Theory","Put the steps for solving a linear equation in the correct order.","ordering","Simplify each side","Move variable terms to one side","Move constants to the other side","Divide by the coefficient","","The standard approach: simplify first, then isolate the variable term, then isolate the variable.",3,"solving-strategy",analyze,,a,b,c,d,
"Key Concepts","Simplify: 4x + 3y - 2x + 7y - 5","multiple_choice","2x + 10y - 5","6x + 10y - 5","2x + 4y - 5","4x + 7y - 5","a","Combine like terms: (4x - 2x) = 2x, (3y + 7y) = 10y, constant stays -5.",2,"simplifying;like-terms",apply,,,
"Key Concepts","Which expression is fully simplified?","multiple_choice","3x + 2x + 5","5x + 5","x + x + x + x + x + 5","All are equivalent but only 5x + 5 is simplified","d","All three equal 5x + 5, but only the last option has all like terms already combined.",2,"simplifying",analyze,,,
"Key Concepts","True or False: 3x and 3x² are like terms.","true_false","True","False","","","b","Like terms must have the same variable raised to the same power. 3x is x¹ and 3x² is x² — different powers.",1,"like-terms",remember,,,
"Key Concepts","Match each term with its definition.","matching","","","","","","Understanding mathematical vocabulary is essential for algebra.",2,"vocabulary",remember,,,"Variable|Coefficient|Constant|Expression","A symbol for an unknown|The number multiplied by a variable|A fixed value that doesn't change|A combination of numbers, variables, and operations"
"Examples","Maria is 5 years older than twice her brother's age. If Maria is 23, how old is her brother?","multiple_choice","7","8","9","10","c","Let b = brother's age. 2b + 5 = 23. 2b = 18. b = 9.",3,"word-problems;age",apply,,,
"Examples","Two cars leave the same point in opposite directions at 60 mph and 45 mph. How long until they are 315 miles apart?","multiple_choice","2 hours","3 hours","4 hours","5 hours","b","Combined rate: 60 + 45 = 105 mph. 105t = 315. t = 3 hours.",3,"word-problems;distance",apply,,,
"Examples","You buy 3 shirts at the same price and pay $8 shipping for a total of $71. Each shirt costs ___.","fill_blank","","","","","","3s + 8 = 71. 3s = 63. s = 21. Each shirt costs $21.",2,"word-problems;shopping",apply,"21|$21|21 dollars",,
