row_type,module_title,module_description,lesson_title,lesson_body,question_text,question_type,option_a,option_b,option_c,option_d,option_e,option_f,correct_answers,explanation,difficulty,tags,acceptable_answers,match_mode,correct_order,matching_left,matching_right,callout_style,callout_title,embed_type,url,caption,alt,mermaid,video_url
structure,Cloud Architecture & Design,"The AWS Well-Architected Framework, high availability patterns, disaster recovery strategies, and decoupled microservices architectures.",,,,,,,,,,,,,,,,,,,,,,,,,,,
structure,Cloud Architecture & Design,,Well-Architected Framework,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Cloud Architecture & Design,,Well-Architected Framework,"## AWS Well-Architected Framework\n\nThe Well-Architected Framework provides a consistent approach for evaluating architectures against best practices. It has **six pillars:**\n\n1. **Operational Excellence** — Run and monitor systems to deliver business value and continuously improve processes. Key practices: infrastructure as code, frequent small reversible changes, anticipate failure.\n\n2. **Security** — Protect data, systems, and assets. Key practices: implement strong identity foundation, enable traceability, apply security at all layers, automate security best practices.\n\n3. **Reliability** — Ensure a system performs its intended function correctly and consistently. Key practices: automatically recover from failure, test recovery procedures, scale horizontally.\n\n4. **Performance Efficiency** — Use computing resources efficiently as demand changes and technologies evolve. Key practices: democratize advanced technologies, go global in minutes, use serverless architectures.\n\n5. **Cost Optimization** — Run systems at the lowest price point. Key practices: adopt a consumption model, measure overall efficiency, stop spending on undifferentiated heavy lifting.\n\n6. **Sustainability** — Minimize environmental impacts of running cloud workloads. Key practices: understand your impact, establish sustainability goals, maximize utilization.\n\nThe framework is used through the **AWS Well-Architected Tool** in the console, which generates improvement plans.",,,,,,,,,,,,,,,,,,,,,,,,,
embed,Cloud Architecture & Design,,Well-Architected Framework,,,,,,,,,,,,,,,,,,,,,diagram,,,,"graph TD\n  WA[""Well-Architected Framework""] --> OE[""Operational Excellence""]\n  WA --> S[""Security""]\n  WA --> R[""Reliability""]\n  WA --> PE[""Performance Efficiency""]\n  WA --> CO[""Cost Optimization""]\n  WA --> SU[""Sustainability""]\n  OE --> OE1[""IaC, automation, observability""]\n  S --> S1[""IAM, encryption, traceability""]\n  R --> R1[""Auto-recovery, horizontal scaling""]\n  PE --> PE1[""Serverless, caching, CDN""]\n  CO --> CO1[""Right-sizing, reserved pricing""]\n  SU --> SU1[""Maximize utilization, reduce waste""]",
question,Cloud Architecture & Design,,Well-Architected Framework,,Match each Well-Architected pillar to its primary concern:,matching,,,,,,,,Each pillar addresses a distinct concern. Operational Excellence focuses on operations and improvement. Reliability ensures the system works despite failures. Performance Efficiency ensures resources are used well. Cost Optimization ensures you're not overspending.,2,Well-Architected Framework,,,,Operational Excellence|Reliability|Performance Efficiency|Cost Optimization,Running and monitoring systems to deliver business value|Ensuring consistent correct functioning and recovery from failure|Using compute resources efficiently as demand changes|Avoiding unnecessary expenditure and maximizing ROI,,,,,,,,
question,Cloud Architecture & Design,,Well-Architected Framework,,How many pillars does the AWS Well-Architected Framework have?,multiple_choice,4,5,6,7,,,c,"The framework has six pillars: Operational Excellence, Security, Reliability, Performance Efficiency, Cost Optimization, and Sustainability. Sustainability was added as the sixth pillar in late 2021.",1,Well-Architected Framework,,,,,,,,,,,,,
structure,Cloud Architecture & Design,,High Availability & Fault Tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Cloud Architecture & Design,,High Availability & Fault Tolerance,"## High Availability & Fault Tolerance\n\n**High Availability (HA):** System remains operational with minimal downtime, typically expressed as a percentage (e.g., 99.99% = ~52 minutes downtime/year).\n\n**Fault Tolerance:** System continues operating correctly even when components fail.\n\n### Key AWS Patterns\n\n**Multi-AZ deployment:** Distribute resources across Availability Zones within a region. Each AZ is one or more physically separate data centers with independent power, cooling, and networking.\n\n**Multi-Region deployment:** For global applications or disaster recovery — deploy across AWS regions (e.g., us-east-1 and eu-west-1).\n\n**Core HA services:**\n- **Elastic Load Balancer (ELB):** Distributes traffic across healthy targets in multiple AZs\n- **Auto Scaling Groups (ASG):** Automatically add/remove EC2 instances based on demand\n- **RDS Multi-AZ:** Synchronous standby replica in a different AZ for automatic failover\n- **S3:** Automatically replicates data across ≥3 AZs (99.999999999% durability)\n- **Route 53:** DNS-level health checks and failover routing\n\n**Design principle:** Assume everything fails. Design so that the failure of any single component doesn't bring down the system.",,,,,,,,,,,,,,,,,,,,,,,,,
embed,Cloud Architecture & Design,,High Availability & Fault Tolerance,,,,,,,,,,,,,,,,,,,,,diagram,,,,"graph TD\n  U[""Users""] --> R53[""Route 53""]\n  R53 --> ALB[""Application Load Balancer""]\n  subgraph ""Region: us-east-1""\n    ALB --> AZ1\n    ALB --> AZ2\n    subgraph AZ1[""AZ-1a""]\n      EC2A[""EC2 Instance""]\n      RDSP[""RDS Primary""]\n    end\n    subgraph AZ2[""AZ-1b""]\n      EC2B[""EC2 Instance""]\n      RDSS[""RDS Standby""]\n    end\n    RDSP <-->|""Sync replication""| RDSS\n  end",
callout,Cloud Architecture & Design,,High Availability & Fault Tolerance,"The exam frequently tests the difference:\n- **Multi-AZ** = high availability and automatic failover (synchronous replication, standby is NOT readable)\n- **Read Replicas** = read scalability (asynchronous replication, replica IS readable, no automatic failover to replica)\n\nIf the question asks for **HA/failover** → Multi-AZ. If it asks for **read performance** → Read Replicas. You can use both together.",,,,,,,,,,,,,,,,,,exam_note,Exam Pattern: Multi-AZ vs Read Replicas,,,,,,
