row_type,module_title,module_description,lesson_title,lesson_body,question_text,question_type,option_a,option_b,option_c,option_d,option_e,option_f,correct_answers,explanation,difficulty,tags,acceptable_answers,match_mode,correct_order,matching_left,matching_right,callout_style,callout_title,embed_type,url,caption,alt,mermaid,video_url
structure,Rhythm & Notation,"The building blocks of musical time: note values, rests, time signatures, tempo, and dynamic markings.",,,,,,,,,,,,,,,,,,,,,,,,,,,
structure,Rhythm & Notation,,Note Values and Rests,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Rhythm & Notation,,Note Values and Rests,"## Note Values and Rests\n\nMusic is organized in time. **Note values** tell us how long each sound lasts, measured relative to the **beat.**\n\n| Note | Name | Duration (in 4/4) | Rest Symbol |\n|------|------|-------------------|-------------|\n| 𝅝 | Whole note | 4 beats | 𝄻 |\n| 𝅗𝅥 | Half note | 2 beats | 𝄼 |\n| ♩ | Quarter note | 1 beat | 𝄽 |\n| ♪ | Eighth note | ½ beat | 𝄾 |\n| 𝅘𝅥𝅯 | Sixteenth note | ¼ beat | 𝄿 |\n\nEach note value is **exactly half** the duration of the one above it:\n- 1 whole = 2 halves = 4 quarters = 8 eighths = 16 sixteenths\n\n**Rests** are periods of silence with the same duration as their corresponding note. Every note value has a matching rest.\n\n**Dotted notes** add half the note's value:\n- Dotted half note = 2 + 1 = **3 beats**\n- Dotted quarter note = 1 + ½ = **1.5 beats**\n\n**Ties** connect two notes of the same pitch, creating a single sustained sound equal to their combined duration. A tied quarter + quarter = one sound lasting 2 beats (equivalent to a half note, but written across a barline).",,,,,,,,,,,,,,,,,,,,,,,,,
question,Rhythm & Notation,,Note Values and Rests,,Match each note value to its duration in 4/4 time:,matching,,,,,,,,"In 4/4 time, the quarter note gets one beat. Each larger note doubles the duration, each smaller note halves it. These proportional relationships are the foundation of rhythmic notation.",1,note values;rhythm,,,,Whole note|Half note|Quarter note|Eighth note,4 beats|2 beats|1 beat|½ beat,,,,,,,,
question,Rhythm & Notation,,Note Values and Rests,,Order these note values from LONGEST to SHORTEST duration:,ordering,Quarter note (1 beat),Whole note (4 beats),Sixteenth note (¼ beat),Half note (2 beats),Eighth note (½ beat),,,From longest to shortest: whole (4) → half (2) → quarter (1) → eighth (½) → sixteenth (¼). Each step halves the duration.,1,note values,,,"b,d,a,e,c",,,,,,,,,,
question,Rhythm & Notation,,Note Values and Rests,,A dotted half note lasts ___ beats in 4/4 time.,fill_blank,,,,,,,,"A dot adds half the note's original value. Half note = 2 beats, dot adds 1 beat, total = 3 beats. Dotted half notes are very common in 3/4 (waltz) time, where they fill an entire measure.",1,dotted notes;rhythm,3|three|3 beats,exact,,,,,,,,,,,
question,Rhythm & Notation,,Note Values and Rests,,How many eighth notes fit in one measure of 4/4 time?,multiple_choice,4,6,8,16,,,c,4/4 time has 4 quarter-note beats per measure. Each quarter note equals 2 eighth notes. So 4 × 2 = 8 eighth notes fill one measure.,1,rhythm;time signatures,,,,,,,,,,,,,
structure,Rhythm & Notation,,Time Signatures,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Rhythm & Notation,,Time Signatures,"## Time Signatures\n\nA **time signature** appears at the beginning of a piece and tells you two things:\n\n- **Top number:** How many beats per measure\n- **Bottom number:** Which note value gets one beat\n\n### Common Time Signatures\n\n**Simple time** (beats divide into 2):\n- **4/4** (Common time, ""C""): 4 quarter-note beats per measure. Most popular in Western music.\n- **3/4** (Waltz time): 3 quarter-note beats. Used in waltzes, minuets.\n- **2/4** (March time): 2 quarter-note beats. Used in marches and polkas.\n- **2/2** (Cut time, ""₵""): 2 half-note beats. Feels faster than 4/4 at the same tempo.\n\n**Compound time** (beats divide into 3):\n- **6/8**: 2 groups of 3 eighth notes. Feels like 2 beats, each subdivided into 3. Common in jigs and some ballads.\n- **9/8**: 3 groups of 3 eighth notes.\n- **12/8**: 4 groups of 3 eighth notes. Common in blues and slow rock.\n\n**How to tell simple vs compound:** If the top number is divisible by 3 (but not 3 itself), it's usually compound. 6/8 has 2 dotted-quarter beats (compound duple), while 3/4 has 3 quarter-note beats (simple triple).\n\n> **3/4 vs 6/8:** Both have 6 eighth notes per measure, but the grouping differs. 3/4 groups them as **3 groups of 2**: (♪♪)(♪♪)(♪♪). 6/8 groups them as **2 groups of 3**: (♪♪♪)(♪♪♪).",,,,,,,,,,,,,,,,,,,,,,,,,
callout,Rhythm & Notation,,Time Signatures,The bottom number is a code for which note gets the beat:\n- **1** = whole note\n- **2** = half note\n- **4** = quarter note\n- **8** = eighth note\n\nSo 3/4 means 3 beats per measure where the quarter note = 1 beat. And 6/8 means 6 eighth-note pulses per measure (grouped as 2 main beats of 3 eighths each).,,,,,,,,,,,,,,,,,,key_concept,Reading the Bottom Number,,,,,,
question,Rhythm & Notation,,Time Signatures,,"In a 3/4 time signature, how many beats are in each measure?",fill_blank,,,,,,,,The top number (3) tells you there are 3 beats per measure. The bottom number (4) tells you the quarter note gets one beat. So 3/4 = three quarter-note beats per measure.,1,time signatures,3|three,exact,,,,,,,,,,,
question,Rhythm & Notation,,Time Signatures,,Which time signature is typically used for a waltz?,multiple_choice,4/4,3/4,6/8,2/4,,,b,"Waltzes use 3/4 time with its distinctive ONE-two-three, ONE-two-three pattern. The strong downbeat on 1 creates the characteristic ""oom-pah-pah"" feel of waltz music.",1,time signatures;waltz,,,,,,,,,,,,,
structure,Rhythm & Notation,,Tempo and Dynamics,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Rhythm & Notation,,Tempo and Dynamics,"## Tempo\n\n**Tempo** is the speed of the music, measured in **BPM** (beats per minute). Common tempo markings use Italian terms:\n\n| Italian Term | BPM Range | Meaning |\n|-------------|-----------|--------|\n| Grave | 20-40 | Very slow, solemn |\n| Largo | 40-60 | Slow and broad |\n| Adagio | 60-80 | Slow, at ease |\n| Andante | 76-108 | Walking pace |\n| Moderato | 108-120 | Moderate speed |\n| Allegro | 120-156 | Fast, lively |\n| Vivace | 156-176 | Lively, brisk |\n| Presto | 168-200 | Very fast |\n\n## Dynamics\n\n**Dynamics** indicate loudness. From softest to loudest:\n\n**pp** (pianissimo) → **p** (piano) → **mp** (mezzo-piano) → **mf** (mezzo-forte) → **f** (forte) → **ff** (fortissimo)\n\n**Gradual changes:**\n- **Crescendo** (cresc.): gradually get louder\n- **Decrescendo/Diminuendo** (decresc./dim.): gradually get softer\n\n**Sudden changes:**\n- **sfz** (sforzando): sudden strong accent\n- **fp** (forte-piano): loud then immediately soft",,,,,,,,,,,,,,,,,,,,,,,,,
question,Rhythm & Notation,,Tempo and Dynamics,,Match each tempo marking to its speed:,matching,,,,,,,,"These Italian terms have been used for centuries to indicate tempo. Adagio is slow and contemplative, Andante is a comfortable walking speed, Allegro is energetic, and Presto is virtuosically fast.",2,tempo,,,,Adagio|Allegro|Andante|Presto,"Slow, at ease (60-80 BPM)|Fast, lively (120-156 BPM)|Walking pace (76-108 BPM)|Very fast (168-200 BPM)",,,,,,,,
question,Rhythm & Notation,,Tempo and Dynamics,,"In dynamics, which marking is louder: piano (p) or forte (f)?",multiple_choice,Piano (p) is louder,Forte (f) is louder,They are the same volume,It depends on the instrument,,,b,"Forte (f) means loud; piano (p) means soft. The piano (the instrument) was originally called ""pianoforte"" because, unlike the harpsichord, it could play both soft (piano) and loud (forte).",1,dynamics,,,,,,,,,,,,,
structure,Scales & Keys,"Major and minor scales, scale degrees, key signatures, and the Circle of Fifths — the map of all musical keys.",,,,,,,,,,,,,,,,,,,,,,,,,,,
structure,Scales & Keys,,Major Scales,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Scales & Keys,,Major Scales,"## Major Scales\n\nA **scale** is an ordered sequence of notes spanning one octave. The **major scale** is the most fundamental scale in Western music and has a bright, happy quality.\n\n**The major scale pattern (in whole and half steps):**\n\n**W - W - H - W - W - W - H**\n\nwhere W = whole step (2 semitones) and H = half step (1 semitone).\n\n**C Major Scale** (no sharps or flats — all white keys on a piano):\n\n```\nC  —W→  D  —W→  E  —H→  F  —W→  G  —W→  A  —W→  B  —H→  C\n```\n\n**G Major Scale** (one sharp: F#):\n\n```\nG  —W→  A  —W→  B  —H→  C  —W→  D  —W→  E  —W→  F#  —H→  G\n```\n\n**Scale degrees** have names:\n\n| Degree | Number | Name | Function |\n|--------|--------|------|----------|\n| 1st | 1 (do) | Tonic | Home base, center of gravity |\n| 2nd | 2 (re) | Supertonic | One step above tonic |\n| 3rd | 3 (mi) | Mediant | Defines major vs minor quality |\n| 4th | 4 (fa) | Subdominant | Below the dominant |\n| 5th | 5 (sol) | Dominant | Second most important; creates tension |\n| 6th | 6 (la) | Submediant | Between subdominant and tonic |\n| 7th | 7 (ti) | Leading tone | Half step below tonic, strongly pulls to tonic |",,,,,,,,,,,,,,,,,,,,,,,,,
question,Scales & Keys,,Major Scales,,Put the notes of the C Major scale in the correct ascending order:,ordering,E,C,G,D,F,B,,"C Major: C - D - E - F - G - A - B. These are all the white keys on a piano, from C to C. No sharps or flats are needed because the natural half steps (E-F and B-C) fall exactly where the major scale pattern requires them.",1,major scale;C major,,,"b,d,a,e,c,g,f",,,,,,,,,,
question,Scales & Keys,,Major Scales,,The major scale follows the interval pattern: W - W - H - W - W - W - ___,fill_blank,,,,,,,,The complete pattern is W-W-H-W-W-W-H. The final half step connects the 7th degree (leading tone) back to the tonic. This half step creates the strong pull that makes the scale sound resolved when it reaches the top.,1,major scale;intervals,H|h|half|half step,exact,,,,,,,,,,,
question,Scales & Keys,,Major Scales,,The 5th degree of a major scale is called the:,multiple_choice,Tonic,Mediant,Dominant,Leading tone,,,c,"The 5th degree is the Dominant — the second most important note in a key after the tonic. The dominant chord (V) creates tension that resolves back to the tonic (I), forming the most fundamental harmonic progression in Western music.",2,scale degrees,,,,,,,,,,,,,
structure,Scales & Keys,,Minor Scales,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Scales & Keys,,Minor Scales,"## Minor Scales\n\nMinor scales have a darker, more melancholic sound than major scales. There are three forms:\n\n### 1. Natural Minor\nPattern: **W - H - W - W - H - W - W**\n\n**A Natural Minor** (relative minor of C Major — same notes, different starting point):\n```\nA - B - C - D - E - F - G - A\n```\n\nEvery major key has a **relative minor** that starts on the 6th degree and shares the same key signature.\n\n### 2. Harmonic Minor\nRaise the 7th degree by a half step to create a **leading tone:**\n```\nA - B - C - D - E - F - G# - A\n```\nPattern: **W - H - W - W - H - W+H - H**\n\nThe raised 7th creates a strong pull to the tonic (just like in major scales). The gap between the 6th and 7th (an augmented second, 3 semitones) gives it a distinctive ""exotic"" sound.\n\n### 3. Melodic Minor\nRaise both the 6th and 7th going up, revert to natural minor going down:\n```\nAscending:  A - B - C - D - E - F# - G# - A\nDescending: A - G - F - E - D - C - B - A\n```\n\nThis smooths out the augmented second gap of the harmonic minor while maintaining the leading tone.",,,,,,,,,,,,,,,,,,,,,,,,,
callout,Scales & Keys,,Minor Scales,"Every major key has a relative minor that shares the same key signature:\n- C Major ↔ A minor (no sharps or flats)\n- G Major ↔ E minor (1 sharp: F#)\n- D Major ↔ B minor (2 sharps: F#, C#)\n- F Major ↔ D minor (1 flat: Bb)\n\nTo find the relative minor: go down 3 semitones (a minor third) from the major key's tonic. To find the relative major: go up 3 semitones from the minor key's tonic.",,,,,,,,,,,,,,,,,,key_concept,Relative Major and Minor,,,,,,
question,Scales & Keys,,Minor Scales,,Match each minor scale type to its distinguishing feature:,matching,,,,,,,,"Natural minor is the unaltered form. Harmonic minor raises the 7th for harmonic function (V-i cadences). Melodic minor also raises the 6th to smooth the melodic line going up, then reverts going down.",2,minor scales,,,,Natural minor|Harmonic minor|Melodic minor,"Uses only the notes from the key signature, no alterations|Raised 7th degree creates a leading tone and augmented 2nd|Raised 6th and 7th ascending, natural descending",,,,,,,,
question,Scales & Keys,,Minor Scales,,What is the relative minor of C Major?,multiple_choice,C minor,A minor,E minor,D minor,,,b,"The relative minor starts on the 6th degree of the major scale. In C Major (C-D-E-F-G-A-B), the 6th degree is A. A minor uses the same notes as C Major (all white keys) but starts and ends on A.",1,relative minor;key relationships,,,,,,,,,,,,,
question,Scales & Keys,,Minor Scales,,Put the notes of the A harmonic minor scale in ascending order:,ordering,E,A,C,G#,B,D,,"A harmonic minor: A - B - C - D - E - F - G# - A. It's the same as A natural minor except the G is raised to G#, creating the leading tone that pulls strongly back to A.",2,harmonic minor,,,"b,e,c,f,a,g,d",,,,,,,,,,
structure,Scales & Keys,,Key Signatures and Circle of Fifths,,,,,,,,,,,,,,,,,,,,,,,,,,
